"No.","Date","Genre","Bibl","URL","ContextBefore","Hit","ContextAfter"
"64","2000-06-29","Zeitung","Archiv der Gegenwart, 2001. Zitiert nach: Archiv der Gegenwart, 2000, Bd. 70.","","In diesen zehn Jahren hat sich hier eine Menge verändert, übrigens nicht nur bei uns, sondern auch in der Welt.","Die Expo 2000 ist deshalb eine großartige Gelegenheit, diese rasanten und dramatischen Veränderungen mit allen ihren Folgen, Möglichkeiten und Chancen bewusst zu machen.","Die Digitalisierung der Produktion, die Globalisierung der Wirtschaftsbeziehungen, die Auswirkungen immer neuer technischer Entwicklungen, aber auch die Notwendigkeit, beispielsweise Umwelt- und Sicherheitsprobleme zunehmend im weltweiten Maßstab anzugehen - all das erfordert eine immer enger werdende internationale Zusammenarbeit; nicht nur der Länder und der Verantwortlichen in den Ländern, sondern - wenn es gelingen soll - auch der Menschen in den Staaten."
"65","2000-06-05","Zeitung","Archiv der Gegenwart, 2001. Zitiert nach: Archiv der Gegenwart, 2000, Bd. 70.","","Die Vereinigten Staaten möchten ein starkes Russland - ein Russland, das stark genug ist, seine territoriale Einheit zu schützen und gleichzeitig die seiner Nachbarn zu respektieren; stark genug, um die Bedrohungen seiner Sicherheit zu bewältigen, strategische Stabilität zu bewahren, mit anderen gemeinsame Ziele zu erreichen und seinem Volk die Chance zu geben, seine Träume zu verwirklichen.","Natürlich sind unsere Interessen nicht identisch, und wir werden unsere unvermeidlichen Meinungsverschiedenheiten haben.","Aber bei vielen Themen, die für unsere Bürger von Belang sind, decken sich unsere Interessen."
"66","2004-01-01","Belletristik","Honigmann, Barbara: Ein Kapitel aus meinem Leben, München Wien: Carl Hanser Verlag 2004, S. 132","","Sie repetierte die »Heimatkunde« und schnitt sich sogar irgendwo eine Österreichkarte aus, auf der die einzelnen Bundesländer schön übersichtlich, in verschiedenen Farben, eingezeichnet waren, aber auch noch ein kleiner Teil von Ungarn zu sehen war, gerade Nagykanizsa, das ja nahe an der Grenze liegt.","Die ausgeschnittene Karte klebte sie auf eine feste Pappe, so daß sie sie auf ihrem Schreibtisch aufstellen konnte, gleich neben den Fotos ihrer Enkel, und dort stand auch die Schreibmaschine, mit der sie ihre Briefe an mich in die Tasten haute, und »in die Tasten hauen« ist genau der richtige Ausdruck für ihre feurige Art, die Tasten zu bearbeiten.","Seit sie nämlich ihre eigene Schrift, die sich inzwischen in ein völlig kryptisches Zeichensystem verwandelt hatte, nicht mehr lesen konnte, schrieb sie nur noch mit der Maschine."
"67","2000-01-01","Belletristik","Schuh, Franz: Schreibkräfte, Köln: DuMont 2000, S. 173","","Die (vergangene) Avantgarde ist intensiver »im Volk verwurzelt« als die, die stets mit den Bildern handelt, die man sich so leicht gefallen läßt.","Es ist der scharfe, »avantgardistisch« genannte Blick auf die eingebürgerten Sprachspiele und Lebensformen, der den Unterschied setzt; es ist ein Blick, der den irrtümlichen Eindruck macht, er wäre nicht auf, sondern gegen die Dinge gerichtet.","So will man nicht gesehen sein, so will man nicht gesprochen haben, sondern sich auf die Regeln verlassen können, die festhalten, wie man gesehen sein will und gesprochen haben will – egal, wie man tatsächlich ausschaut und tatsächlich spricht."
"68","2002-01-01","Belletristik","Stadler, Arnold: Sehnsucht, Köln: DuMont Literatur und Kunst Verlag 2002, S. 310","","Nur gelegentlich ging ich noch an den Ligusteranlagen vorbei zum Fünfmeterbrett und tat so, als ob ich mir ernsthaft überlegte zu springen, ganz dilettantisch versuchte ich von meiner Schaulust abzulenken.","Dieses Wasser, das auf der Wiese mein Fernbleiben entschuldigen sollte, war ja nur eine Erinnerung daran, daß ich immer noch nicht am Meer war.","Bald lauerte ich wie ein Tier in diesen Kabinen auf Beute."
"69","2002-01-01","Belletristik","Stadler, Arnold: Sehnsucht, Köln: DuMont Literatur und Kunst Verlag 2002, S. 232","","Ich konnte mir einfach die Welt nicht erklären, in der ich lebte.","Ach, für jeden, der kein wirklicher Entdecker oder Nobelpreisträger war, mußte es eine Schmach sein, bis zu sechs Mal am Tag an der Einsteintafel vorbeizumüssen, meist, um Kleinigkeiten für die Gäste bei Edeka zu besorgen.","Einmal kam das Fernsehen, eine Sendung über Menschen, die zur Vermüllung neigen."
"70","2004-01-01","Wissenschaft","Safranski, Rüdiger: Friedrich Schiller, München Wien: Carl Hanser 2004, S. 148","","Dort ist die Rede vom wollüstigen Fiesco, der als ein Beispiel dafür angeführt wird, daß Geistesstärke und sexuelle Leidenschaft zusammengehen können, im Gegensatz zur gängigen Meinung also, wonach Lüsternheit den Geist schwächt.","Fiesco, so die historische Überlieferung, war stark, fintenreich, schön, hatte Glück bei den Frauen, stammte aus stolzem Adelsgeschlecht und war von unbändigem politischem Ehrgeiz.","Mitte des 16. Jahrhunderts war er das Herz einer Verschwörung gegen das Fürstengeschlecht der Doria, das die Republik Genua damals beherrschte."
"71","2000-03-09","Zeitung","Die Zeit, 09.03.2000, Nr. 11","","Auch ist dem Autor der datengestützte Fortschritt noch kein Wert an sich.","Ob Telemedizin, Virtuelle Realität oder Telearbeit - unter Dertouzos geschickt geführtem ""Vergrößerungsglas"" sind dies Entwicklungen, die von den Mitgliedern einer mündigen Gesellschaft nicht nur erlitten, sondern aktiv gestaltet sein wollen.",""
"72","2003-01-01","Belletristik","Funke, Cornelia: Tintenherz, Hamburg: Cecilie Dressler Verlag 2003, S. 137","","Warum behaupten Sie, dass es keinen Zweck hat, ihn zu suchen? «","»Weil es ganz klar ist, wo er ist«, antwortete der Biber.","»Begreift ihr denn nicht?"
"73","2001-12-31","Gebrauchsliteratur","Schwanitz, Dietrich: Männer, Frankfurt a. M.: Eichborn 2001, S. 97","","98 % der Aktivitäten werden für die Selbstbeobachtung des Hirns aufgewendet.","Es ist wie bei einer Behörde:","Nur wenig Zeit wird dem Besuch des konkreten Menschen Andrea Abromeit gewidmet."
"74","2000-02-24","Zeitung","Die Zeit, 24.02.2000, Nr. 9","","Ökoaktivisten haben sich an Bäume gekettet.","4000 Kubikmeter sind dennoch gerodet worden.","Was sind die Ziele?, fragt sich Ingenieur Michal Valenta."
"75","2000-03-02","Zeitung","Die Zeit, 02.03.2000, Nr. 10","","Ob er sich allerdings für den gesamten Zeitraum, insbesondere für die sechziger Jahre, so halten lässt, ist angesichts der jüngeren DDR-Forschung fraglich.","Aber das sind Interpretationsfragen; der Solidität dieser Darstellung tun sie keinen Abbruch.","Heinrich Potthoff: Im Schatten der Mauer"
"76","2006-01-01","Belletristik","Noll, Ingrid: Ladylike, Zürich: Diogenes 2006, S. 43","","Meine Freundin muß nicht unbedingt mitbekommen, was ich von Rudis Bilanzen halte.","»Am besten machen wir Spargel«, schlägt sie vor, als ob ich nicht selbst auf diese Idee gekommen wäre.","Schließlich haben die Kurfürsten schon im 18. Jahrhundert gewußt, daß er in den lockeren Sandböden von Schwetzingen besonders gut gedeiht."
"77","2005-01-01","Belletristik","Schulze, Ingo: Neue Leben, Berlin: Berlin Verlag 2005, S. 674","","Der Spitzel war vorsichtiger geworden.","Er schrieb jetzt weniger und nur noch, wenn er allein war.","Aber vorhin hatten sie ihn wieder erwischt."
"78","2002-01-01","Wissenschaft","Schlögel, Karl: Petersburg, München Wien: Carl Hanser Verlag 2002, S. 114","","Wie sehr die Intelligencija »unter Recht immer nur jene äußerlichen, leblosen Normen, die so leicht in Artikel und Paragraphen eines geschriebenen Gesetzes oder irgendeines Statuts gefaßt werden, verstanden« hat, zeigt Kistjakovskij in Auseinandersetzung mit den Diskussionen des radikalsten Flügels der Opposition, der Sozialdemokratie, auf deren Londoner Parteitag 1905.","Plechanovs Hypothese, daß ein Fall denkbar sei, »wo wir, die Sozialdemokraten, uns gegen das allgemeine Wahlrecht aussprechen müßten« zum einen und zum anderen die Diskussion um das Organisationsstatut, das die Unterordnung der Minderheit unter die Mehrheit im einzelnen fixiert, sind für Kistjakovskij der deutlichste Beleg für seine Kritik.","Er schreibt:"
"79","2006-01-01","Wissenschaft","Lepenies, Wolf: Kultur und Politik, München, Wien: Carl Hanser Verlag 2006, S. 274","","Für Meinecke war die deutsche Geschichte, wie er in der Vorbemerkung zur Deutschen Katastrophe schrieb, »reich an schwer lösbaren Rätseln und an unglücklichen Wendungen«.","Dafür war sein Buch selber ein Beispiel – es war ein Teil der Katastrophe, die es beschrieb.","Hughes, Consciousness and Society, S. 233."
"80","2010-01-01","Belletristik","Erpenbeck, Jenny: Wörterbuch, Frankfurt am Main: Eichborn Verlag 2004, S. 39","","Ich will davon nichts mehr hören, sagt meine Mutter und zeigt mit dem Stift auf mein Mathematikbuch.","Ich schaue ins Mathematikbuch und sage nichts mehr, aber ich denke, daß unsere Aufwartefrau viel älter aussieht als meine Mutter, so alt, als könnte sie meine Großmutter sein, und ihre Knochen sind auch schon sehr zerbrechlich.","Wenn sie einmal stolpert, hat sie gleich einen gebrochenen Fuß, wenn sie mit der Hand zu heftig an eine Tür klopft, zersplittert der Knöchel."
"81","2000-04-06","Zeitung","Die Zeit, 06.04.2000, Nr. 15","","Diese soll unser Geschmacksverhalten nicht allein erklären, sie soll auch dazu beitragen, es zu optimieren.","Denn aus den angeborenen Prinzipien ergibt sich für den Autor recht unmittelbar, welche Lebensumgebungen und Lebensgestaltungen dem Menschen ""adäquat"" sind.","Wie einst bei Schopenhauer und Adorno ist auch diese Ästhetik zugleich eine Ethik."
"82","2000-01-20","Zeitung","Die Zeit, 20.01.2000, Nr. 4","","Er finanziert aus seinen Erträgen Jugendaustausch, Forschungsvorhaben und Projekte der Völkerverständigung sowie der Erinnerung an die Naziherrschaft.","Eine Milliarde ist für den Ausgleich von Vermögensverlusten eingeplant, die ""im Zuge rassischer Verfolgung"" eingetreten sind und bisher im Rahmen der Wiedergutmachung unberücksichtigt blieben.","Geplanter Höchstsatz: 15000 Mark."
"83","2000-02-10","Zeitung","Die Zeit, 10.02.2000, Nr. 7","","Die paternalistischer orientierten Regierungen in Europa sind mehr für den Verbraucherschutz als die Amerikaner.","Hormon-Beef wird hier gegessen, weil man sagt, das ist in Ordnung.","Wir haben Angst davor."
"84","2000-03-23","Zeitung","Die Zeit, 23.03.2000, Nr. 13","","Die Konkurrenz greift unterdessen weiter an.","Vor dem Einstieg bei Rover sei BMW im Luxussegment ""an der Spitze des Rudels"" gewesen, sagt der britische Professor Daniel T. Jones, ""im Moment sind sie nur ein Teil davon"".","Neben DaimlerChrysler wird vor allem Ford mit seinem Ableger Premier Automotive Group zum ernsthaften Rivalen."
"85","2000-11-27","Zeitung","Archiv der Gegenwart, 2001. Zitiert nach: Archiv der Gegenwart, 2000, Bd. 70.","","Im Wahlkampf warf die Opposition CHRETIEN vor, er habe zu verantworten, dass durch die vorzeitige Neuwahl wichtige Gesetzesvorhaben wie die grundlegende Neuordnung des kanadischen Bankenwesens in der laufenden Legislaturperiode nicht zu Ende gebracht werden könnten.","DAY beschuldigte den Premier, er betreibe Ämterpatronage, sei von der Macht korrumpiert und habe eine ""Kultur der Heimlichtuerei und Einschüchterung"" geschaffen.","Auf Kritik stießen die Ankündigungen des als rechtskonservativ und populistisch beschriebenen DAY, er werde im Fall der Regierungsübernahme das bestehende Gesundheitssystem ändern, die in Reservaten lebenden Indianer der Steuerpflicht unterwerfen und die Möglichkeit prüfen lassen, Referenden durchzuführen, mit denen die Bürger direkt zu Themen wie der von ihm präferierten Einführung der Todesstrafe oder der Zulässigkeit von Schwangerschaftsunterbrechungen Stellung nehmen könnten."
"86","2002-01-01","Belletristik","Kopetzky, Steffen: Grand Tour, Frankfurt am Main: Eichborn 2002, S. 135","","Als er das feine, samtgedämmte Geräusch des Schlüssels vernommen hatte, den Fräulein Havlatschinek vor Pardell auf die altmodische Rezeption gelegt hatte, war er ein paar Schritte von Pardell weggetreten, hatte nach oben geblinzelt, um dem Springer auf der Treppe voranzulaufen, am ersten Stock stehenzubleiben und zu sehen, ob Pardell nachkam, dann weiterzulaufen, und so fort, bis Pardell das Gefühl hatte, der Kater führe ihn zu seinem Zimmer.","Er hatte aufgeschlossen, Mucki war zwischen seinen Beinen hindurch ins Zimmer gelaufen, war aufs Bett gesprungen und hatte Pardell schnurrend, Fäden aus der bleichen Tagesdecke ziehend und wohlwollend skeptisch dabei zugesehen, wie der sich auszog, wie er die Uniform über den Stuhl legte, wie er, nur noch in Unterhosen, eine Zigarette nahm, zum Fenster ging, es öffnete und hinausrauchte.","Wien West."
"87","2000-03-23","Zeitung","Die Zeit, 23.03.2000, Nr. 13","","»Es gibt wohl kaum eine Musik, die weiter von Techno entfernt ist als das Harfenspiel.«","Für ihn, der kaum noch Raves besucht, weil »Musik und Gäste mir zuallermeist auf den Nerv gehen«, ist das Balsam für die Seele.","Selbst technoides Outfit findet er mittlerweile peinlich."
"88","2001-01-01","Belletristik","Hettche, Thomas: Der Fall Arbogast, Köln: DuMont Buchverlag, 2001, S. 142","","Ansgar Klein sah die Goethestraße entlang, die sich in den letzten Jahren zu einer der besten Einkaufsadressen der Stadt entwickelt hatte und die auf den noch leeren und ungestalteten Platz der ehemaligen Frankfurter Oper führte.","Die dachlose Ruine des klassizistischen Baus war nach dem Krieg lediglich notdürftig gesichert und eingezäunt worden.","Er erinnerte sich noch sehr genau, wie er sie als Kind hatte brennen sehen."
"89","2001-01-01","Belletristik","Regener, Sven: Herr Lehmann, Frankfurt am Main: Eichborn AG 2006, S. 238. Zitiert nach: Regener, Sven: Herr Lehmann, Berlin: Eichborn Verlag 2001.","","Wenn er sich ausruhen muß.","Ich bin praktisch seine Luftmatratze.«","»Nun, nun«, sagte Herr Lehmann, dem das jetzt ein bißchen zu weit ging und auch ein bißchen peinlich war."
"90","2005-01-01","Belletristik","Boie, Kirsten: Skogland, Ort: Hamburg 2005, S. 235","","Jarven starrte das Haus an.","Es war klein, das Holz war gelb gestrichen und es sah so grenzenlos behaglich aus.","Joas hätte nicht von den Betten reden sollen."
"91","2000-02-03","Zeitung","Die Zeit, 03.02.2000, Nr. 6","","Dennoch macht diese Vorstellung keine Angst, denn der Korb gleitet sanft und ohne jedes Gerüttel oder Geschüttel durch die Luft, - ""ideale Bedingungen für eine erste Fahrt"", glaubt man dem Piloten.","Aber es bleibt dieses befremdende Gefühl, sich in einem Element zu bewegen, für das der Mensch nicht geschaffen ist.","Unten am Boden verschwindet Murau langsam aus dem Blickfeld, ein idyllisch im Tal der Mur gelegenes Städtchen mit nur zweieinhalbtausend Einwohnern."
"92","2001-05-28","gesprochen","Der Spiegel, 28.05.2001","","SPIEGEL:","Sie konnten sich nicht vorstellen, was wirklich passiert war?","Nielawicki:"
"93","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 255","","Auf den zweiten Blick aber gab es eine verborgene Seite an ihm, etwas Untergründiges schimmerte in seinem Gesicht.","Sie kennt sich selbst doch gut genug: Wäre er nichts weiter als ein langweiliger Offiziersanwärter gewesen, hätte sie ihn keines Blickes gewürdigt.","Sie interessiert sich nicht für Menschen, die alles, was in ihnen steckt, schon an der Oberfläche zeigen."
"94","2000-12-23","Zeitung","Archiv der Gegenwart, 2001. Zitiert nach: Archiv der Gegenwart, 2000, Bd. 70.","","Bei der abschließenden Wahlkundgebung der DOS im Belgrader Sava-Zentrum sagte er vor 3000 Anhängern, nur eine entschlossene politische Führung und die Bereitschaft der Serben, alle internationalen Herausforderungen anzunehmen ‚ könnten eine bessere Zukunft bringen.","""Wir sind entschlossen, das nächste Jahrhundert zum Jahrhundert Serbiens zu machen, denn im letzten war das nicht so"".","Der Wahlkampf in Serbien für das Votum am 23. Dezember war vorwiegend bestimmt durch das Auftreten der Opposition, die sich in ihrem Wahlprogramm auf vier Hauptziele konzentrierte:"
"95","2003-01-01","Belletristik","Hahn, Ulla: Unscharfe Bilder, München: Deutsche Verlags-Anstalt 2003, S. 53","","Andere wurden hellwach, scharfäugig.","Unter Artilleriebeschuß zum Beispiel bist du ja zum Abwarten verdammt.","Da waren viele besonders nahe der Panik."
"96","2000-02-14","gesprochen","Der Spiegel, 14.02.2000","","Einerseits werden die bilateralen Kontakte der einzelnen Staaten mit Österreich eingefroren, andererseits soll in der EU alles weiterlaufen wie bisher.","Ist das nicht scheinheilig?","Wer soll das verstehen?"
"97","2006-01-01","Belletristik","Krausser, Helmut: Eros, Köln: DuMont 2006, S. 90","","»Schwesterchen, was denn?","Ich dachte, du bist glücklich im Kindergarten.«","»Hab ich denn eine andere Wahl?«"
"98","2000-02-17","Zeitung","Die Zeit, 17.02.2000, Nr. 8","","Vertraute Geräusche: das Knarzen der Bindung, das Klacken des Schuhs in der Steighilfe, das Schubbern der Rucksackriemen am Pullover, das Vibrieren des eigenen Atems.","Weiter oben ist eine Gruppe versierter Geher zu sehen; Schritte und Stöcke im Takt, gleichmäßig und kraftsparend, eine Art Ruderregatta im Hang.","Skifahren, das ist der Rhythmus der Stadt: die Geschwindigkeit, der Richtungswechsel, die Aggression."
"99","2002-01-01","Belletristik","Kopetzky, Steffen: Grand Tour, Frankfurt am Main: Eichborn 2002, S. 429","","Niemand wird gezwungen, so zu leben, niemand wird gezwungen verbotene Spiele zu spielen, aber... «","»Es ist eine Männerwelt. Deswegen«, sagte Pardell sanft, resignierend.","»Vielleicht."
"100","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 29","","Doch kaum jemand hat sich eine Genehmigung dafür eingeholt, und so müssen manche Häuser vielleicht irgendwann wieder abgerissen werden.","»Aber nur unsere Oma ist gestorben, oder?«","Ja, unser Großvater lebt noch, und er wohnt gar nicht weit von uns entfernt, gleich bei der Schanze."
